PLAN,ANNUAL,NUM_SEATS,total_events_created,DEALS,COMPANIES,CONTACTS,LEADS,TASKS,team_count,pipeline_count,average_stages_per_pipeline,email_templates,activity_types,lost_reasons_count,lead_statuses_count,email_public_turned_on_count,%_users_w_email_on,total_custom_fields,company_custom_fields,contacts_custom_fields,lead_custom_fields,opportunity_custom_fields,projects_custom_fields,tasks_custom_fields,total_saved_fliters,automated_action_executed_count,automated_action_rules_count,tracked_emails_count,loss_reason_count,total_deals_lost,deals_lost_with_loss_reason,total_won_deals,deal_sources_count,contact_group_count,goals_count,total_activities,companies_activities_per_entity,contact_activities_per_entity,deal_activities_per_entity,lead_activities_per_entity,task_activities_per_entity,import_count,total_integration_tokens
basic_annual,1,3,2416,181.0,865.0,1131.0,224.0,15.0,0,2,5,5,3,3,4,0,0.0,1,0,1,0,0,0,0,0,0.0,0.0,98,3,10,0,83,0,4.0,0,28621,2989,18827,1786,4937,82,1,0
basic_annual,1,2,2415,561.0,908.0,753.0,160.0,33.0,0,10,7,3,4,4,5,0,0.0,19,5,5,1,3,3,2,10,0.0,0.0,217,4,15,2,23,560,6.0,0,18709,2904,11971,3512,103,219,35,0
basic_annual,1,1,2415,21.0,33.0,2351.0,3.0,7.0,0,1,5,2,3,4,4,0,0.0,6,0,2,2,2,0,0,0,0.0,0.0,64,4,1,0,3,1,10.0,0,6150,127,5891,100,7,25,1,0
professional_annual,1,1,2414,597.0,616.0,830.0,310.0,61.0,0,4,4,3,7,3,4,0,0.0,22,4,5,5,7,1,0,1,0.0,0.0,3640,3,11,0,35,1,11.0,0,28154,2280,19564,4101,1882,327,10,1
professional_annual,1,5,2413,271.0,553.0,1090.0,301.0,198.0,2,2,6,7,5,4,5,0,0.0,30,18,1,4,7,0,0,7,0.0,0.0,2235,4,19,1,52,12,9.0,0,24271,3828,12186,4348,2795,1114,5,0
professional_monthly,0,1,2413,3.0,22.0,2383.0,2.0,3.0,1,3,5,2,7,6,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,50,6,0,0,0,2,6.0,0,2745,57,2664,15,2,7,1,0
professional_monthly,0,1,2413,1.0,8.0,2268.0,133.0,3.0,0,2,4,3,3,3,4,0,0.0,8,0,5,3,0,0,0,3,0.0,0.0,2395,3,0,0,0,1,4.0,0,7116,28,6832,22,216,18,3,0
professional_annual,1,16,2413,623.0,442.0,682.0,32.0,634.0,3,7,7,30,4,3,4,8,0.35,8,1,0,1,6,0,0,3,0.0,0.0,7231,3,113,7,183,355,8.0,0,44161,2363,30723,7035,586,3454,18,2
basic_monthly_24,0,1,2413,9.0,776.0,1604.0,2.0,22.0,0,2,4,2,3,3,4,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,9,3,0,0,1,0,4.0,0,11034,1358,9500,71,0,105,2,0
professional_annual,1,2,2412,85.0,546.0,374.0,1339.0,68.0,0,2,5,3,4,3,4,0,0.0,3,1,1,1,0,0,0,1,0.0,0.0,5118,3,23,0,41,31,6.0,0,25661,1854,11899,782,10830,296,9,3
professional_monthly,0,4,2409,278.0,633.0,1168.0,126.0,204.0,0,4,3,10,4,4,4,2,0.33,1,0,0,0,1,0,0,1,0.0,0.0,1261,4,34,15,33,240,6.0,0,24352,2970,16074,3607,641,1060,14,1
professional_monthly,0,4,2408,897.0,264.0,478.0,86.0,683.0,0,3,5,5,5,6,4,0,0.0,30,4,4,4,15,3,0,4,0.0,0.0,0,6,180,133,411,857,8.0,1,21538,2889,3871,10069,300,4409,5,1
professional_annual_49,1,4,2407,622.0,108.0,1394.0,127.0,156.0,1,4,4,8,5,4,7,0,0.0,12,1,7,2,2,0,0,8,0.0,0.0,1905,4,148,74,185,398,11.0,0,20268,522,12664,6103,418,561,6,2
professional_annual,1,5,2404,875.0,536.0,879.0,46.0,68.0,0,1,13,6,4,4,4,0,0.0,7,0,2,2,2,1,0,3,0.0,0.0,12987,4,71,12,257,101,4.0,0,64492,2918,49885,8886,2446,357,2,0
basic_monthly_24,0,3,2404,8.0,720.0,1648.0,5.0,23.0,1,1,6,2,3,3,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1,3,2,0,1,4,8.0,0,13677,880,12631,47,17,102,1,2
professional_annual,1,5,2403,466.0,281.0,1089.0,215.0,352.0,0,1,3,15,5,3,4,9,0.56,10,5,3,0,2,0,0,3,0.0,0.0,6066,3,35,7,293,396,7.0,1,41713,2495,29830,5316,1821,2251,11,0
basic_monthly,0,3,2403,148.0,614.0,1171.0,0.0,470.0,0,4,7,5,7,3,4,1,0.14,0,0,0,0,0,0,0,0,0.0,0.0,30,3,3,0,0,87,17.0,0,27775,2235,19898,2410,0,3232,5,0
basic_monthly,0,1,2402,2.0,14.0,46.0,2329.0,11.0,0,2,4,3,3,3,4,1,0.5,18,0,0,18,0,0,0,0,0.0,0.0,2,3,0,0,0,0,5.0,0,5101,61,337,26,4620,57,5,0
basic_annual_19,1,1,2402,14.0,587.0,1779.0,2.0,20.0,0,2,5,3,3,3,4,0,0.0,8,3,5,0,0,0,0,0,0.0,0.0,0,3,0,0,0,1,4.0,0,6554,2282,4125,70,0,77,4,0
basic_annual,1,1,2399,6.0,755.0,1627.0,4.0,7.0,0,2,17,2,3,3,4,1,1.0,0,0,0,0,0,0,0,0,0.0,0.0,98,3,0,0,0,1,8.0,0,36693,1690,34686,52,231,34,2,0
professional_annual_49,1,15,2396,725.0,17.0,1357.0,101.0,196.0,6,12,4,22,18,5,4,0,0.0,287,3,45,21,207,10,1,2,5.0,1.0,620,5,4,1,82,186,7.0,0,27178,235,18856,6416,439,1232,9,1
professional_annual_49,1,1,2396,436.0,314.0,420.0,258.0,968.0,0,2,6,2,4,3,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2313,3,5,4,252,437,6.0,0,28458,1829,15073,4704,1959,4893,1,0
professional_monthly,0,2,2394,6.0,32.0,2321.0,0.0,35.0,0,2,4,3,5,3,4,1,0.5,10,3,3,2,2,0,0,1,0.0,0.0,0,3,1,0,4,0,4.0,0,5926,145,5426,93,0,262,1,0
professional_monthly,0,2,2394,1.0,834.0,26.0,1526.0,7.0,0,2,4,10,3,3,5,0,0.0,12,4,4,4,0,0,0,0,0.0,0.0,289,3,0,0,0,1,5.0,0,3934,1697,642,23,1554,18,3,0
professional_annual_49,1,6,2393,226.0,366.0,1447.0,181.0,173.0,0,10,8,10,8,3,4,0,0.0,9,1,0,3,5,0,0,2,0.0,0.0,1717,3,8,4,11,152,12.0,0,18156,1499,13796,1420,626,815,6,2
professional_monthly_69,0,2,2392,38.0,248.0,2027.0,26.0,53.0,1,2,4,7,3,3,4,0,0.0,5,0,3,0,0,0,2,0,0.0,0.0,1566,3,0,0,2,2,9.0,0,83094,22622,59050,241,802,379,36,0
professional_monthly,0,2,2389,113.0,5.0,136.0,66.0,2069.0,4,3,5,1,17,6,2,3,1.0,22,2,8,8,4,0,0,2,0.0,0.0,260,6,28,25,25,99,11.0,0,39342,570,6623,4804,3804,23541,3,0
professional_annual,1,3,2388,371.0,366.0,666.0,118.0,867.0,0,9,7,9,6,9,5,3,0.38,34,3,9,8,14,0,0,2,0.0,0.0,5059,9,46,27,96,100,10.0,0,31688,2626,18186,4365,603,5908,6,2
professional_monthly_69,0,4,2387,250.0,284.0,287.0,488.0,1078.0,3,2,6,7,4,3,9,0,0.0,12,6,1,3,2,0,0,2,0.0,0.0,1841,3,54,0,96,0,5.0,0,16257,2410,3663,2747,1303,6134,1,0
professional_annual,1,1,2387,32.0,196.0,2063.0,0.0,96.0,0,2,4,2,3,3,4,0,0.0,1,0,1,0,0,0,0,0,0.0,0.0,1933,3,0,0,0,0,4.0,0,10792,973,9321,144,0,354,2,0
professional_monthly,0,3,2385,426.0,544.0,663.0,459.0,293.0,1,1,6,14,4,4,6,6,0.6,4,0,0,1,3,0,0,1,0.0,0.0,9703,4,101,19,104,317,4.0,0,22629,2642,11886,3863,2533,1705,1,0
basic_monthly_24,0,1,2384,50.0,959.0,1365.0,3.0,7.0,1,2,6,8,3,4,4,0,0.0,3,2,1,0,0,0,0,0,0.0,0.0,14,4,13,12,7,23,4.0,0,5868,1346,4108,240,30,144,8,1
basic_monthly,0,1,2382,43.0,929.0,1358.0,1.0,51.0,0,2,4,2,4,3,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,13,3,14,0,4,1,13.0,0,18835,2540,15728,302,4,261,1,0
basic_monthly_24,0,1,2382,341.0,512.0,796.0,10.0,723.0,0,4,5,2,3,4,4,1,1.0,10,3,7,0,0,0,0,1,0.0,0.0,20,4,66,1,103,11,5.0,3,20450,1851,9163,2964,24,6448,26,0
professional_annual,1,1,2379,123.0,167.0,237.0,1754.0,98.0,0,9,5,6,5,3,4,0,0.0,24,8,4,11,1,0,0,0,0.0,0.0,2757,3,2,2,2,0,10.0,0,15986,1111,3469,922,9984,500,10,0
basic_monthly,0,1,2378,2.0,2320.0,50.0,2.0,4.0,0,1,8,2,8,3,4,0,0.0,51,39,10,0,2,0,0,0,0.0,0.0,0,3,0,0,0,1,9.0,0,4804,4662,102,28,2,10,2,0
basic_monthly_24,0,1,2378,13.0,808.0,1517.0,13.0,27.0,0,2,4,2,3,3,4,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,7,3,3,0,4,0,7.0,0,33351,2231,30841,130,14,135,3,0
professional_annual,1,15,2377,87.0,370.0,514.0,339.0,1067.0,2,1,7,19,3,9,4,0,0.0,9,1,2,2,2,1,1,1,0.0,0.0,4839,9,22,10,16,87,8.0,9,35651,1363,26027,1302,2445,4514,8,1
professional_monthly,0,5,2375,528.0,190.0,787.0,787.0,83.0,2,7,4,8,12,6,6,5,0.26,16,0,12,1,1,2,0,2,0.0,0.0,4568,6,32,25,79,443,13.0,0,47694,1214,31842,4593,9427,618,14,1
professional_annual,1,4,2375,41.0,353.0,469.0,1021.0,491.0,4,2,3,8,3,3,4,4,0.57,0,0,0,0,0,0,0,0,0.0,0.0,3881,3,2,1,0,1,6.0,0,53134,1874,42454,1902,3510,3394,1,2
professional_monthly,0,6,2374,1617.0,369.0,237.0,123.0,28.0,1,4,3,0,5,3,4,1,0.12,4,4,0,0,0,0,0,0,0.0,0.0,1172,3,0,0,1617,0,7.0,0,15700,2491,3996,8123,966,124,3,0
professional_monthly,0,3,2374,340.0,163.0,296.0,4.0,1571.0,1,2,9,5,4,4,4,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,387,4,54,47,29,174,5.0,0,19195,914,5596,4374,1325,6986,1,0
basic_monthly,0,3,2374,458.0,735.0,1095.0,6.0,80.0,0,26,6,4,5,4,4,0,0.0,7,2,1,1,1,1,1,0,0.0,0.0,9,4,8,1,3,8,9.0,0,12076,2606,7229,1884,0,357,4,0
basic_annual,1,2,2374,528.0,573.0,583.0,30.0,660.0,2,5,5,4,4,4,7,0,0.0,4,2,0,1,1,0,0,0,0.0,0.0,15,4,0,0,338,15,15.0,0,14516,2790,3001,5302,104,3319,2,0
basic_monthly,0,1,2373,1118.0,380.0,817.0,52.0,6.0,0,7,4,7,3,6,4,0,0.0,2,0,0,1,1,0,0,0,0.0,0.0,1425,6,424,211,418,81,9.0,0,25238,1861,15357,7942,61,17,2,1
business_annual,1,12,2371,127.0,474.0,1073.0,677.0,20.0,3,5,6,13,8,3,4,0,0.0,33,18,7,1,3,2,2,6,0.0,0.0,20,3,8,3,36,30,7.0,0,339770,11628,325832,1502,680,128,10,0
basic_monthly,0,5,2368,137.0,195.0,225.0,1279.0,532.0,1,1,7,11,5,4,5,0,0.0,16,2,1,8,2,3,0,1,0.0,0.0,3,4,16,7,24,46,4.0,5,23941,875,11420,1362,6405,3879,5,0
professional_annual_49,1,2,2368,3.0,115.0,2234.0,2.0,14.0,0,1,5,3,3,3,4,0,0.0,5,0,5,0,0,0,0,0,0.0,0.0,228,3,0,0,0,2,3.0,0,12737,1033,11635,15,0,54,21,0
professional_annual_49,1,3,2367,287.0,363.0,416.0,784.0,517.0,1,3,4,16,4,3,2,2,0.33,10,2,2,4,2,0,0,6,0.0,0.0,340,3,35,0,6,2,4.0,0,19593,1422,9063,2183,5246,1679,12,1
professional_annual,1,1,2366,3.0,42.0,2315.0,1.0,5.0,0,2,4,2,3,3,4,0,0.0,10,2,3,2,1,1,1,0,0.0,0.0,0,3,0,0,0,2,5.0,0,3432,128,3265,15,10,14,22,0
professional_annual,1,5,2364,465.0,397.0,669.0,47.0,786.0,0,3,5,5,5,11,4,1,0.14,2,0,0,0,2,0,0,1,0.0,0.0,2382,11,235,228,83,93,6.0,0,55316,1458,45870,4021,468,3499,3,3
professional_monthly_69,0,2,2362,5.0,156.0,399.0,331.0,1471.0,1,2,3,3,4,3,4,0,0.0,6,1,3,1,1,0,0,0,0.0,0.0,7988,3,0,0,1,0,7.0,0,32123,564,19340,52,2508,9659,1,0
professional_annual_49,1,7,2362,166.0,365.0,717.0,1085.0,29.0,1,3,5,9,7,5,4,5,0.5,37,11,6,8,8,2,2,5,0.0,0.0,954,5,71,19,26,11,5.0,0,31168,2426,16811,1777,9964,190,7,2
basic_annual,1,2,2361,43.0,70.0,640.0,1374.0,234.0,0,2,8,4,9,3,15,0,0.0,3,0,1,1,1,0,0,2,0.0,0.0,214,3,6,0,14,0,19.0,0,38840,309,22218,476,14538,1299,1,1
basic_monthly,0,1,2361,3.0,188.0,2153.0,1.0,16.0,0,3,3,2,3,3,4,1,1.0,0,0,0,0,0,0,0,0,0.0,0.0,18,3,0,0,0,2,10.0,0,12652,646,11917,15,2,72,2,0
professional_monthly,0,9,2359,16.0,13.0,15.0,2305.0,10.0,1,2,4,7,3,4,4,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,59,4,4,4,3,14,4.0,0,2777,77,134,121,2375,70,3,0
basic_monthly,0,1,2357,33.0,1114.0,1208.0,0.0,2.0,0,1,5,3,3,3,4,0,0.0,4,2,2,0,0,0,0,0,0.0,0.0,17,3,1,0,15,1,4.0,0,49589,4614,44685,280,3,7,3,0
professional_monthly,0,5,2357,555.0,175.0,824.0,28.0,775.0,1,4,5,18,3,4,4,0,0.0,12,0,6,0,5,1,0,1,0.0,0.0,10940,4,73,44,131,471,12.0,0,40019,749,25577,6403,1980,5310,2,1
basic_monthly_24,0,2,2355,5.0,10.0,7.0,2324.0,9.0,0,2,4,11,4,3,5,0,0.0,5,1,1,2,1,0,0,0,0.0,0.0,3469,3,0,0,0,3,4.0,0,7568,41,75,25,7393,34,10,0
basic_annual,1,1,2354,5.0,379.0,1967.0,0.0,3.0,0,3,4,3,3,3,4,0,0.0,90,17,17,17,17,13,9,0,0.0,0.0,5,3,0,0,0,2,4.0,0,3657,1003,2613,35,0,6,1,0
basic_monthly,0,1,2353,694.0,503.0,777.0,243.0,136.0,0,2,5,2,3,3,4,0,0.0,8,4,1,0,3,0,0,0,0.0,0.0,0,3,1,0,0,10,4.0,0,9141,1825,2669,2559,1341,747,12,0
business_annual,1,3,2351,491.0,147.0,816.0,16.0,881.0,2,3,7,4,12,5,4,0,0.0,20,0,5,2,9,2,2,11,0.0,0.0,2629,5,3,1,433,375,8.0,82,37464,616,24230,3924,1152,7542,7,0
professional_monthly_69,0,1,2351,3.0,0.0,941.0,2.0,1405.0,0,2,4,2,8,3,4,1,1.0,21,0,17,0,0,4,0,0,0.0,0.0,0,3,0,0,0,2,4.0,0,15928,16,13085,15,2,2810,5,0
professional_monthly,0,2,2349,3.0,287.0,2056.0,0.0,3.0,0,2,5,0,3,3,4,0,0.0,13,3,3,0,1,3,3,0,0.0,0.0,97,3,0,0,0,2,9.0,0,19035,6086,12928,15,0,6,23,0
professional_annual,1,5,2348,397.0,332.0,501.0,13.0,1105.0,0,7,2,16,22,11,8,0,0.0,60,3,2,0,55,0,0,2,0.0,0.0,2618,11,116,18,92,123,4.0,0,47724,7082,22767,9414,70,8391,40,2
professional_monthly_69,0,2,2347,19.0,708.0,1155.0,240.0,225.0,0,3,5,11,6,4,9,0,0.0,7,2,2,1,1,1,0,2,0.0,0.0,4823,4,2,1,5,14,15.0,0,45960,4131,39079,259,1476,1015,10,1
basic_annual,1,2,2347,462.0,209.0,1508.0,52.0,116.0,1,6,3,2,5,9,4,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,130,9,37,28,135,453,5.0,0,18514,1986,11691,4255,29,553,1,0
professional_monthly_69,0,1,2347,4.0,528.0,1733.0,0.0,82.0,0,2,5,4,4,3,4,1,0.5,12,2,4,0,2,2,2,0,0.0,0.0,150,3,0,0,0,2,8.0,0,44275,2756,41009,18,0,492,28,0
professional_annual,1,1,2346,431.0,458.0,695.0,521.0,241.0,0,1,6,3,3,3,4,1,1.0,12,2,10,0,0,0,0,0,0.0,0.0,334,3,8,0,38,393,12.0,0,16868,2560,8323,4133,358,1494,10,0
professional_annual,1,2,2345,51.0,140.0,907.0,130.0,1117.0,0,6,6,7,5,3,2,0,0.0,10,0,4,2,3,0,1,6,0.0,0.0,1174,3,2,0,1,24,10.0,0,21118,659,11215,888,1011,7345,6,2
professional_annual,1,1,2345,1.0,532.0,1793.0,2.0,17.0,0,2,3,2,3,3,4,0,0.0,14,0,14,0,0,0,0,3,0.0,0.0,3966,3,0,0,0,0,15.0,0,35788,1762,31709,34,2207,76,20,1
basic_monthly,0,1,2344,0.0,461.0,1875.0,1.0,7.0,0,2,4,2,3,3,4,1,1.0,86,13,21,13,13,13,13,0,0.0,0.0,1,3,0,0,0,0,5.0,0,4689,930,3715,18,3,23,1,1
business_monthly_149,0,6,2344,146.0,583.0,926.0,82.0,607.0,1,5,5,18,3,4,4,0,0.0,2,0,0,0,1,0,1,2,0.0,0.0,11286,4,6,1,61,44,6.0,100,36768,2182,27900,1912,910,3864,1,0
basic_monthly,0,1,2342,3.0,4.0,6.0,2325.0,4.0,0,2,4,2,3,3,4,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0,3,0,0,0,2,4.0,0,2585,16,165,15,2380,9,4,0
professional_annual,1,1,2340,131.0,623.0,1048.0,63.0,475.0,0,6,4,3,3,3,4,0,0.0,28,18,7,2,0,1,0,12,0.0,0.0,15932,3,10,0,11,25,4.0,0,76986,2641,69287,2390,63,2605,12,0
professional_annual,1,1,2338,118.0,327.0,1444.0,104.0,345.0,0,2,12,3,16,4,4,0,0.0,8,2,1,1,2,2,0,0,0.0,0.0,2786,4,12,4,11,80,16.0,7,31524,1085,26748,1296,518,1877,2,1
professional_annual,1,4,2337,52.0,45.0,191.0,2041.0,8.0,1,1,6,5,3,4,6,1,0.25,31,5,8,8,9,1,0,1,0.0,0.0,123,4,35,0,15,48,5.0,0,12804,245,2400,731,9343,85,12,1
professional_monthly_69,0,1,2337,138.0,313.0,293.0,1254.0,339.0,0,4,3,2,4,3,12,0,0.0,28,10,5,5,4,3,1,3,0.0,0.0,3414,3,11,0,23,38,9.0,0,24704,1150,16292,968,3256,3038,5,1
professional_monthly,0,2,2337,13.0,1278.0,947.0,3.0,96.0,2,2,6,12,33,6,4,0,0.0,24,4,10,1,3,2,4,1,0.0,0.0,1846,6,2,0,7,10,7.0,0,11695,3309,7578,263,13,532,5,3
professional_monthly,0,5,2335,3.0,1739.0,7.0,583.0,3.0,0,2,4,4,3,3,4,0,0.0,49,12,10,27,0,0,0,0,0.0,0.0,92,3,0,0,0,2,4.0,0,31262,23053,274,15,7913,7,15,0
professional_annual_49,1,5,2333,166.0,366.0,590.0,2.0,1209.0,2,1,5,13,5,9,4,1,0.11,8,1,4,1,2,0,0,2,299.0,1.0,5305,9,88,87,52,148,7.0,0,73974,3096,60978,2066,846,6988,12,3
professional_annual,1,3,2332,58.0,175.0,263.0,1304.0,532.0,0,5,3,8,3,3,5,0,0.0,16,1,3,5,7,0,0,0,0.0,0.0,115,3,0,0,3,1,5.0,0,10448,621,4474,567,2447,2339,11,0
professional_monthly,0,7,2331,661.0,716.0,655.0,7.0,292.0,2,11,4,16,8,3,4,5,0.42,13,13,0,0,0,0,0,8,0.0,0.0,6819,3,20,0,30,0,11.0,0,36920,6776,23052,5604,15,1473,16,0
professional_monthly_69,0,6,2331,883.0,313.0,931.0,0.0,204.0,2,2,12,18,3,3,4,0,0.0,13,2,0,0,11,0,0,1,0.0,0.0,1122,3,33,8,29,685,6.0,0,17403,1086,9463,5752,2,1100,9,1
professional_monthly_69,0,1,2328,31.0,283.0,5.0,2005.0,4.0,0,2,4,2,3,3,7,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,54,3,0,0,0,0,4.0,0,7853,374,1359,117,5994,9,5,0
professional_annual,1,3,2325,917.0,409.0,824.0,85.0,90.0,0,2,5,6,3,3,4,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,17511,3,202,1,14,6,4.0,0,46079,2528,35758,6028,1390,375,1,2
basic_annual,1,1,2323,71.0,75.0,2160.0,8.0,9.0,0,2,4,2,3,3,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,25,0,7,6,7.0,0,28598,338,27803,355,72,30,2,0
basic_annual_19,1,2,2323,0.0,484.0,1835.0,2.0,2.0,0,2,4,3,4,3,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1,3,0,0,0,0,7.0,0,18424,2255,16115,18,0,36,2,0
basic_monthly_24,0,3,2323,2.0,14.0,17.0,2285.0,5.0,0,2,4,5,3,3,6,1,0.33,8,2,2,3,1,0,0,2,0.0,0.0,74,3,0,0,1,1,4.0,0,10211,59,257,29,9849,17,3,0
basic_annual_19,1,2,2322,5.0,661.0,1652.0,1.0,3.0,0,2,4,3,3,3,4,0,0.0,2,1,1,0,0,0,0,0,0.0,0.0,70,3,0,0,0,0,6.0,0,16105,1996,14008,44,50,7,6,1
professional_monthly_69,0,5,2319,751.0,621.0,644.0,31.0,272.0,1,2,6,6,11,5,4,3,0.6,46,6,6,8,8,10,8,3,3.0,1.0,1372,5,21,12,556,17,7.0,6,14345,3296,4538,5094,398,1019,33,0
professional_annual,1,3,2318,435.0,294.0,498.0,196.0,895.0,1,3,3,12,3,3,2,1,0.2,53,1,4,24,23,1,0,2,0.0,0.0,49,3,107,10,199,40,8.0,0,32168,1217,21402,3550,2235,3764,2,0
professional_monthly,0,2,2315,735.0,67.0,889.0,65.0,559.0,0,5,5,10,5,3,4,0,0.0,6,0,3,0,3,0,0,2,0.0,0.0,3774,3,5,2,399,93,5.0,0,25634,286,17317,4677,1601,1753,4,0
basic_monthly_24,0,1,2315,67.0,623.0,1466.0,1.0,158.0,2,2,6,3,8,3,4,0,0.0,2,0,1,0,0,0,1,0,0.0,0.0,1249,3,13,1,3,50,18.0,0,13526,2889,9122,609,8,898,3,0
professional_annual,1,4,2312,481.0,788.0,980.0,35.0,28.0,0,9,6,6,4,3,4,0,0.0,66,10,12,9,17,9,9,1,0.0,0.0,2447,3,7,0,286,25,8.0,0,46949,7122,30125,5666,3860,176,66,1
basic_annual,1,2,2311,6.0,13.0,24.0,2248.0,20.0,0,2,4,3,3,3,4,0,0.0,9,3,0,3,3,0,0,0,0.0,0.0,14,3,0,0,0,1,4.0,0,3006,64,375,58,2415,94,3,2
basic_annual_19,1,3,2311,140.0,195.0,1640.0,111.0,225.0,0,5,5,5,4,3,4,0,0.0,23,3,3,9,8,0,0,0,0.0,0.0,1323,3,8,0,0,3,12.0,0,19090,1861,12200,1102,2575,1352,46,2
basic_annual,1,1,2310,3.0,3.0,1800.0,499.0,5.0,0,2,4,2,3,3,4,0,0.0,19,0,9,10,0,0,0,0,0.0,0.0,0,3,0,0,0,2,4.0,0,2553,13,2007,15,505,13,2,0
professional_monthly,0,1,2308,3.0,2161.0,111.0,2.0,31.0,0,2,4,2,3,3,4,0,0.0,12,7,1,1,1,1,1,0,0.0,0.0,283,3,0,0,0,1,7.0,0,22768,21355,1148,29,15,221,9,0
basic_monthly,0,1,2306,48.0,1564.0,93.0,579.0,22.0,0,2,5,0,3,3,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,77,3,0,0,20,0,7.0,0,22776,3718,15047,312,3577,122,3,0
basic_monthly,0,3,2305,49.0,151.0,720.0,1348.0,37.0,0,4,3,4,7,4,8,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,136,4,7,3,9,24,10.0,0,30210,681,6985,419,21903,222,12,0
basic_annual,1,3,2303,273.0,158.0,412.0,829.0,631.0,1,2,5,8,5,3,10,0,0.0,13,0,3,3,2,5,0,2,0.0,0.0,82,3,30,5,50,231,6.0,0,21521,766,6556,3837,6372,3990,2,0
professional_annual,1,2,2302,123.0,886.0,1013.0,138.0,142.0,0,1,4,6,4,3,5,0,0.0,8,2,2,2,2,0,0,0,0.0,0.0,1472,3,27,1,0,0,16.0,0,13790,2582,9079,910,452,767,3,0
basic_annual_19,1,3,2301,119.0,1048.0,1104.0,0.0,30.0,2,2,3,4,3,3,4,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,33,3,7,0,12,3,4.0,0,10837,3235,6502,951,2,147,34,0
professional_monthly,0,3,2300,322.0,622.0,961.0,32.0,363.0,2,10,4,7,5,3,4,0,0.0,12,5,1,2,3,1,0,3,0.0,0.0,5141,3,16,4,46,74,10.0,0,36410,2457,29009,2717,95,2132,11,1
professional_monthly_69,0,2,2300,206.0,585.0,341.0,1101.0,67.0,0,4,6,12,3,3,11,0,0.0,27,6,6,6,6,2,1,1,0.0,0.0,2,3,6,0,1,1,5.0,0,17263,2574,6995,2212,5003,479,16,0
professional_monthly_69,0,3,2300,12.0,20.0,7.0,386.0,1875.0,0,3,4,27,8,2,13,1,0.2,18,0,0,18,0,0,0,1,0.0,0.0,1728,2,0,0,0,0,10.0,0,26089,136,9620,307,6434,9592,18,0
basic_monthly,0,5,2299,57.0,486.0,1750.0,2.0,4.0,0,2,4,0,5,3,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,48,3,10,0,12,2,4.0,0,11117,2164,8760,179,4,10,2,0
basic_annual_19,1,1,2298,19.0,15.0,35.0,2209.0,20.0,0,1,6,2,4,5,4,0,0.0,5,0,3,2,0,0,0,0,0.0,0.0,6,5,1,0,0,3,6.0,0,2848,76,297,129,2245,101,6,1
professional_monthly,0,1,2297,2.0,1022.0,1266.0,0.0,7.0,0,2,4,2,5,3,4,0,0.0,4,1,2,0,1,0,0,0,0.0,0.0,0,3,0,0,0,2,24.0,0,40272,3964,36231,33,0,44,6,2
professional_annual_49,1,4,2296,93.0,263.0,147.0,339.0,1454.0,4,3,5,9,5,4,2,2,0.18,23,2,6,3,12,0,0,1,0.0,0.0,40,4,19,8,8,51,12.0,0,18953,421,3084,2090,2144,11214,5,1
professional_monthly_69,0,3,2296,3.0,983.0,1173.0,127.0,10.0,1,2,4,9,3,3,4,1,0.33,0,0,0,0,0,0,0,1,0.0,0.0,697,3,0,0,0,0,7.0,0,6370,1268,4926,18,127,31,3,1
basic_annual,1,2,2295,3.0,273.0,2014.0,1.0,4.0,2,2,4,0,3,3,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,0,2,10.0,0,5025,596,4392,15,9,13,2,0
professional_annual,1,5,2295,142.0,451.0,523.0,985.0,194.0,0,2,4,7,5,3,4,1,0.14,2,0,0,1,1,0,0,0,0.0,0.0,10,3,7,3,69,74,7.0,0,28052,1389,20873,1279,3636,875,25,0
basic_monthly_24,0,3,2295,4.0,996.0,1057.0,217.0,21.0,0,2,4,5,3,3,4,0,0.0,6,1,2,3,0,0,0,2,0.0,0.0,485,3,0,0,0,0,8.0,0,10396,1067,8913,22,305,89,6,0
professional_annual_49,1,1,2295,26.0,852.0,1333.0,12.0,72.0,0,1,7,2,5,3,3,0,0.0,8,1,3,2,2,0,0,0,0.0,0.0,54,3,0,0,2,23,8.0,2,6356,1150,4131,186,449,440,1,2
