Account ID,ACTIVE,PLAN,ANNUAL,NUM_SEATS,total_events_created,DEALS,COMPANIES,CONTACTS,LEADS,TASKS,team_count,pipeline_count,average_stages_per_pipeline,email_templates,activity_types,lost_reasons_count,lead_statuses_count,email_public_turned_on_count,%_users_w_email_on,total_custom_fields,company_custom_fields,contacts_custom_fields,lead_custom_fields,opportunity_custom_fields,projects_custom_fields,tasks_custom_fields,total_saved_fliters,automated_action_executed_count,automated_action_rules_count,tracked_emails_count,loss_reason_count,total_deals_lost,deals_lost_with_loss_reason,total_won_deals,deal_sources_count,contact_group_count,goals_count,total_activities,companies_activities_per_entity,contact_activities_per_entity,deal_activities_per_entity,lead_activities_per_entity,task_activities_per_entity,import_count,total_integration_tokens,,,,,,,,,,,,,,,,,,,,,,,
116963,1,professional_annual,1,7,73245,529,4006,5859,62434,417,2,2,3,26,3,5,4,8,0.42,31,3,11,8,7,1,1,4,0,0,5888,5,39,0,152,26,4,0,172660,7607,55056,2978,104654,2365,36,4,,,,,,,,,,,,,,,,,,,,,,,
254053,1,professional_monthly_69,0,9,73067,516,21140,3647,47609,155,6,2,5,10,7,3,3,4,0.33,24,2,9,10,3,0,0,2,0,0,553,3,1,0,7,0,5,0,117183,39511,21759,3449,51701,763,22,1,,,,,,,,,,,,,,,,,,,,,,,
214121,1,professional_monthly_69,0,6,71423,172,10610,2846,57773,22,1,1,7,12,6,5,5,1,0.09,12,2,4,3,2,0,1,1,0,0,4606,5,4,3,5,71,10,0,366134,28017,158106,1385,178491,135,27,1,,,,,,,,,,,,,,,,,,,,,,,
214950,1,professional_annual_49,1,10,70324,59,17162,53099,,4,2,2,5,3,3,2,4,0,0,142,24,28,24,23,22,21,0,0,0,0,2,2,0,2,4,21,0,328682,71262,257070,322,6,22,16,1,,,,,,,,,,,,,,,,,,,,,,,
180888,1,professional_annual,1,8,69296,2255,7846,31238,25568,2389,0,5,5,35,11,12,4,1,0.08,87,20,25,20,16,1,5,9,0,0,14600,12,268,198,746,906,7,0,414558,33691,221281,17389,134139,8058,232,3,,,,,,,,,,,,,,,,,,,,,,,
123141,1,professional_monthly,0,16,69115,1825,1017,36678,228,29367,1,8,6,30,42,11,4,0,0,87,4,21,16,30,7,9,13,1,1,11202,11,714,709,27,889,4,0,462867,5591,190063,17072,979,249162,16,3,,,,,,,,,,,,,,,,,,,,,,,
174779,1,professional_annual,1,13,68298,1610,1457,6932,55562,2737,1,3,4,28,3,3,4,4,0.2,41,5,10,9,16,0,1,2,0,0,32525,3,591,14,674,863,4,0,285920,10922,92555,23572,144798,14073,46,2,,,,,,,,,,,,,,,,,,,,,,,
133913,1,professional_monthly,0,10,68089,5476,231,4627,53124,4631,3,17,6,25,13,10,13,2,0.13,46,3,9,12,21,0,0,1,0,0,17532,10,3134,1993,1342,4850,18,0,223704,480,54666,59535,71534,37489,276,4,,,,,,,,,,,,,,,,,,,,,,,
163566,1,basic_annual,1,2,67870,63,13356,54415,3,33,0,6,5,4,3,3,4,1,0.5,35,12,20,1,1,0,1,1,0,0,9,3,3,0,4,5,4,0,263073,64102,198291,464,50,166,100,0,,,,,,,,,,,,,,,,,,,,,,,
163630,1,professional_monthly,0,11,67655,832,3655,59294,3760,114,2,1,4,19,3,3,4,4,0.14,26,9,7,8,2,0,0,1,0,0,8908,3,60,0,343,97,4,0,160272,11397,117740,7565,23083,487,31,0,,,,,,,,,,,,,,,,,,,,,,,
124712,1,basic_annual,1,2,67204,3,27214,39984,,3,0,2,4,2,3,3,4,0,0,2,0,2,0,0,0,0,0,0,0,152,3,0,0,0,0,15,0,231481,64724,166682,69,0,6,8,0,,,,,,,,,,,,,,,,,,,,,,,
